,product,purchased_with
186,BernieHana Butter [(Jetfuel Gelato x Guava) x (Blue Cookies x Oreoz)],LPC75 (Sunset Sherbert x NIP OG)
187,Berri Blunts,Juicy Jet Pack Infused Pre-Roll
188,Berri Blunts (Sherbacio x Baklava x Cannoli) | 3x0.7g,The LAW (LeeAnn Womac) [Live Rosin/Bubble Hash/Kief] | 1x1g
189,Berry Blitz Live Rosin Gummies,Rainbow Driver (Sundae Driver x Zkittlez)
190,Berry Blitz [Live Rosin] | 2pcs,Queen Bee Kush Shatter
191,Berry Cream Puff,Animal Rntz (Animal Cookies x Runtz)
192,Berry Cream Puff (Berry Cream Puff (Cake Crasher x Unknown Genetic) | 10x0.3g,The French Twist (Cannaloupe Haze) | 12x0.5g
193,Berry Cream Puff (Cake Crasher x Strawberry & Cream) Pre-Roll,Trainwreck (Thai x Mexican x Afghani) Pre-Roll
194,Berry Cream Puff (Cake Crasher x Unknown Genetic),Jungl' Cake (White Fire #43 x Wedding Cake)
195,Berry Cream Puff Pre-Roll,Gnarberry Dartz Pre-Roll
196,Berry Mint Tropical 3:1 + CBG | 4pcs,Sunny Daze Sativa (Lemon Freeze Pop) | 1x0.5g
197,Berry Mint Tropical Soda 3:1 + CBG,Cherry Bomb
198,Berry Mix CBD Gummies | 30pcs,Raspberry Hippie Crippler [Honey Oil] | 1g
199,Berry Smasher,OCB - Virgin Unbleached Cones
200,Berry Smasher (Lemon Berry Cookies),OCB - Virgin Unbleached Cones
201,Berry Special Resin Infused Pre-Roll Variety Pack,Grape Diamonds Blunts [THC Diamonds] | 2x0.5g
202,Berry Special Variety Pack (Blueberry Haze x Melonberry x Strawberry Freeze) [Live Resin] | 3x0.5g,Grape Diamonds Blunts [THC Diamonds] | 2x0.5g
203,Best of THC and CBD 1:1 featuring Milk Chocolate,Organic Death Bubba (Death Star x Bubba Kush)
204,Best of THC featuring Milk Chocolate,G Sherb (Gelato Mint x Power Sherb) Infused Joint
205,Bic - Branded Lighters,Afghan Black Hash
206,Bic - Lighter,Organic Death Bubba (Death Star x Bubba Kush)
207,Bic - Mini Lighter,Trainwreck (Thai x Mexican x Afghani) Pre-Roll
208,Bic Lost Lake Lighters,Drops
209,Big Buddy Indica (Powdered Donuts) | 2x1g,Cherry Boat (11 Week Pink Kush S1) | 2x1g
210,Big Buddy Indica Pre-Roll,2 x Big Buddy Sativa (NYPD) Pre-Roll
211,Big Buddy Sativa (NYPD) | 2x1g,Cherry Boat (11 Week Pink Kush S1) | 2x1g
212,Big Pleasures,Cherry Shockwave
213,Big Pleasures (Bubba Kush),Sgt. Pineapple (Pineapple God)
214,Big Pleasures (Cake Gelato),Color Calendar Pre-Roll
215,Big Pleasures (Cinnamon Buns),Black Cherry Hash Rosin Cola | 355ml
216,Big Pleasures (GMO Cookies),Cold Cured 22 (Triangle Kush x Kush Mints)
217,Big Pleasures (Lime Skunk),Pheno Hunter (Gelato x Red Pop)
